Model Name,Single Task,Tasks,Sampling Mode,final_loss_train,final_loss_dev,final_loss_test,final_acc_dev,final_acc_test,SemEval_final_acc_dev_2_class,SemEval_final_acc_dev_3_class,SemEval_final_acc_dev_4_class,SemEval_final_acc_test_2_class,SemEval_final_acc_test_3_class,SemEval_final_acc_test_4_class,Sentihood_strict__aspect_acc_dev,Sentihood_strict_aspect_acc_test,Sentihood_Sentiment_AUC,Sentihood_Aspect_AUC,Precision,Recall,F1_Score,Done?,UniqueID
xlnet-base-cased,SST-2,"SST-2, SemEval_QA_B",anneal,0.03183114420312042,0.279522289122854,0.279522289122854,0.9300458715596329,0.9300458715596329,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, SemEval_QA_B|anneal"
xlnet-base-cased,SemEval_QA_B,"SST-2, SemEval_QA_B",anneal,0.011552250765327642,0.1618349987325395,0.1618349987325395,0.92975,0.92975,0.9544937428896472,0.8920863309352518,0.855609756097561,0.9544937428896472,0.8920863309352518,0.855609756097561,,,,,0.9361483007209064,0.8868292682926829,0.9108216432865732,Yes,"xlnet-base-cased|SST-2, SemEval_QA_B|anneal"
bert-base-uncased,SST-2,"SST-2, SemEval_QA_B",anneal,0.01944683058356934,0.2563381386654718,0.2563381386654718,0.9254587155963304,0.9254587155963304,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, SemEval_QA_B|anneal"
bert-base-uncased,SemEval_QA_B,"SST-2, SemEval_QA_B",anneal,0.005035444494657078,0.14916621840404715,0.14916621840404715,0.9309999999999999,0.9309999999999999,0.9567690557451648,0.9023638232271326,0.864390243902439,0.9567690557451648,0.9023638232271326,0.864390243902439,,,,,0.9312063808574276,0.9112195121951221,0.921104536489152,Yes,"bert-base-uncased|SST-2, SemEval_QA_B|anneal"
xlnet-base-cased,SST-2,"SST-2, Sentihood_QA_B",sequential,0.037677409797600536,0.2142264129860061,0.2142264129860061,0.9438073394495412,0.9438073394495412,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, Sentihood_QA_B|sequential"
xlnet-base-cased,Sentihood_QA_B,"SST-2, Sentihood_QA_B",sequential,0.012164150267363564,0.17979095780967988,0.17979095780967988,0.9475409836065574,0.9440789473684208,,,,,,,,0.8527214514407684,0.9704622058380972,0.9772714411227892,0.950354609929078,0.8786885245901639,0.9131175468483816,Yes,"xlnet-base-cased|SST-2, Sentihood_QA_B|sequential"
bert-base-uncased,SST-2,"SST-2, Sentihood_QA_B",sequential,0.02089980169437757,0.2576230743101665,0.2576230743101665,0.9323394495412844,0.9323394495412844,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, Sentihood_QA_B|sequential"
bert-base-uncased,Sentihood_QA_B,"SST-2, Sentihood_QA_B",sequential,0.006489687696464814,0.19664333957586105,0.19664333957586105,0.919672131147541,0.9309210526315792,,,,,,,,0.8377801494130203,0.9633251464003848,0.971228746365998,0.96309963099631,0.8557377049180328,0.90625,Yes,"bert-base-uncased|SST-2, Sentihood_QA_B|sequential"
xlnet-base-cased,SST-2,"SST-2, Sentihood_QA_B",random,0.03700430413792331,0.2291946304695947,0.2291946304695947,0.9403669724770642,0.9403669724770642,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, Sentihood_QA_B|random"
xlnet-base-cased,Sentihood_QA_B,"SST-2, Sentihood_QA_B",random,0.0119349028702321,0.17695896547361786,0.17695896547361786,0.939344262295082,0.9416118421052632,,,,,,,,0.8591248665955176,0.9640568499785592,0.978002073594761,0.9575971731448764,0.8885245901639345,0.9217687074829932,Yes,"xlnet-base-cased|SST-2, Sentihood_QA_B|random"
bert-base-uncased,SST-2,"SST-2, Sentihood_QA_B",random,0.02031947927405417,0.275289597255843,0.275289597255843,0.9311926605504588,0.9311926605504588,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, Sentihood_QA_B|random"
bert-base-uncased,Sentihood_QA_B,"SST-2, Sentihood_QA_B",random,0.006001017087893253,0.1869622906511226,0.1869622906511226,0.9295081967213116,0.935032894736842,,,,,,,,0.8537886872998933,0.9557199683025878,0.9663140778963748,0.9649446494464944,0.8573770491803279,0.9079861111111112,Yes,"bert-base-uncased|SST-2, Sentihood_QA_B|random"
xlnet-base-cased,SST-2,"SST-2, Sentihood_QA_B",prop,0.03131320243035966,0.19888692455632345,0.19888692455632345,0.9449541284403672,0.9449541284403672,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, Sentihood_QA_B|prop"
xlnet-base-cased,Sentihood_QA_B,"SST-2, Sentihood_QA_B",prop,0.008896759395136155,0.20602719400035727,0.20602719400035727,0.9491803278688524,0.9366776315789472,,,,,,,,0.8762006403415155,0.9662884872242572,0.9762706478455708,0.9646643109540636,0.8950819672131147,0.9285714285714284,Yes,"xlnet-base-cased|SST-2, Sentihood_QA_B|prop"
bert-base-uncased,SST-2,"SST-2, Sentihood_QA_B",prop,0.022444356347879595,0.2359771707228252,0.2359771707228252,0.9277522935779816,0.9277522935779816,,,,,,,,,,,,,,Yes,"bert-base-uncased|SST-2, Sentihood_QA_B|prop"
bert-base-uncased,Sentihood_QA_B,"SST-2, Sentihood_QA_B",prop,0.003489843134269825,0.2003496502266816,0.2003496502266816,0.939344262295082,0.9375,,,,,,,,0.8697972251867663,0.9630748531152572,0.9727405727950642,0.9635036496350364,0.8655737704918033,0.911917098445596,Yes,"bert-base-uncased|SST-2, Sentihood_QA_B|prop"
xlnet-base-cased,SST-2,"SST-2, Sentihood_QA_B",sqrt,0.032223362066514084,0.2155402856213706,0.2155402856213706,0.9426605504587156,0.9426605504587156,,,,,,,,,,,,,,Yes,"xlnet-base-cased|SST-2, Sentihood_QA_B|sqrt"
xlnet-base-cased,Sentihood_QA_B,"SST-2, Sentihood_QA_B",sqrt,0.00902459527121968,0.19463766788248904,0.19463766788248904,0.9377049180327868,0.9407894736842104,,,,,,,,0.8697972251867663,0.9667568107938486,0.9780233290597132,0.9587813620071683,0.8770491803278688,0.9160958904109588,Yes,"xlnet-base-cased|SST-2, Sentihood_QA_B|sqrt"
